Representative,Committee,Rank,Congress,Last Name,First Name,Middle Initial,State,bioguideID
Adams,Agriculture.,,117,Adams,,,,A000370
Adams,Education and Labor.,,117,Adams,,,,A000370
Adams,Financial Services.,,117,Adams,,,,A000370
Aderholt,Appropriations.,,117,Aderholt,,,,A000055
Aguilar,Appropriations.,,117,Aguilar,,,,A000371
Aguilar,House Administration.,,117,Aguilar,,,,A000371
Aguilar,Select Committee to Investigate the January 6th Attack on the United States Capitol.,,117,Aguilar,,,,A000371
Allen,Agriculture.,,117,Allen,,,,A000372
Allen,Education and Labor.,,117,Allen,,,,A000372
Allred,Foreign Affairs.,,117,Allred,,,,A000376
Allred,Transportation and Infrastructure.,,117,Allred,,,,A000376
Allred,Veterans’ Affairs.,,117,Allred,,,,A000376
Amodei,Appropriations.,,117,Amodei,,,,A000369
Armstrong,Energy and Commerce.,,117,Armstrong,,,,A000377
Armstrong,Ethics.,,117,Armstrong,,,,A000377
Armstrong,Select Committee on the Climate Crisis.,,117,Armstrong,,,,A000377
Arrington,Ways and Means.,,117,Arrington,,,,A000375
Arrington,Select Committee on Economic Disparity and Fairness in Growth.,,117,Arrington,,,,A000375
Auchincloss,Financial Services.,,117,Auchincloss,,,,A000148
Auchincloss,Transportation and Infrastructure.,,117,Auchincloss,,,,A000148
Axne,Agriculture.,,117,Axne,,,,A000378
Axne,Financial Services.,,117,Axne,,,,A000378
Babin,"Science, Space, and Technology.",,117,Babin,,,,B001291
Babin,Transportation and Infrastructure.,,117,Babin,,,,B001291
Bacon,Agriculture.,,117,Bacon,,,,B001298
Bacon,Armed Services.,,117,Bacon,,,,B001298
Baird,Agriculture.,,117,Baird,,,,B001307
Baird,"Science, Space, and Technology.",,117,Baird,,,,B001307
Balderson,Agriculture.,,117,Balderson,,,,B001306
Balderson,Transportation and Infrastructure.,,117,Balderson,,,,B001306
Banks,Armed Services.,,117,Banks,,,,B001299
Banks,Education and Labor.,,117,Banks,,,,B001299
Banks,Veterans’ Affairs.,,117,Banks,,,,B001299
Barr,Financial Services.,,117,Barr,,,,B001282
Barr,Foreign Affairs.,,117,Barr,,,,B001282
Barraga´n,Energy and Commerce.,,117,Barragán,,,,B001300
Barraga´n,Homeland Security.,,117,Barragán,,,,B001300
Bass,Foreign Affairs.,,117,Bass,,,,B001270
Bass,Judiciary.,,117,Bass,,,,B001270
Beatty,Financial Services.,,117,Beatty,,,,B001281
Bentz,Judiciary.,,117,Bentz,,,,B000668
Bentz,Natural Resources.,,117,Bentz,,,,B000668
Bera,Foreign Affairs.,,117,Bera,,,,B001287
Bera,"Science, Space, and Technology.",,117,Bera,,,,B001287
Bergman,Armed Services.,,117,Bergman,,,,B001301
Bergman,Veterans’ Affairs.,,117,Bergman,,,,B001301
Beyer,"Science, Space, and Technology.",,117,Beyer,,,,B001292
Beyer,Ways and Means.,,117,Beyer,,,,B001292
"Bice, Stephanie I., of Oklahoma",Armed Services.,,117,Bice,Stephanie,I,Oklahoma,B000740
"Bice, Stephanie I., of Oklahoma","Science, Space, and Technology.",,117,Bice,Stephanie,I,Oklahoma,B000740
"Bice, Stephanie I., of Oklahoma",Select Committee on Economic Disparity and Fairness in Growth.,,117,Bice,Stephanie,I,Oklahoma,B000740
Biggs,Judiciary.,,117,Biggs,,,,B001302
