representative,party,transaction_date,ticker,type,industry,sector,price_date_unadjusted,price_date,purchase_price,purchase_price_plus_365
Virginia Foxx,Republican,9/27/2021,BP,purchase,Integrated oil Companies,Energy,9/27/2022,9/27/2022,27.07999992,27.54999924
Virginia Foxx,Republican,9/13/2021,XOM,purchase,Integrated oil Companies,Energy,9/13/2022,9/13/2022,55.36999893,95.33000183
Virginia Foxx,Republican,9/10/2021,ILPT,purchase,Real Estate Investment Trusts,Real Estate,9/10/2022,9/12/2022,26.18000031,7.389999866
Virginia Foxx,Republican,9/28/2021,PM,purchase,Farming/Seeds/Milling,Consumer Non-Durables,9/28/2022,9/28/2022,98.41999817,87.34999847
Alan S. Lowenthal,Democrat,9/17/2021,BLK,sale_partial,Investment Bankers/Brokers/Service,Finance,9/17/2022,9/19/2022,876.6300049,634.7299805
Aston Donald McEachin,Democrat,12/1/2021,AXP,purchase,Finance: Consumer Services,Finance,12/1/2022,12/1/2022,150.0599976,157.5
Thomas Suozzi,Democrat,11/18/2021,AMD,sale_full,Semiconductors,Technology,11/18/2022,11/18/2022,155.0200043,73.56999969
Thomas Suozzi,Democrat,11/18/2021,AAPL,sale_full,Computer Manufacturing,Technology,11/18/2022,11/18/2022,157.8699951,151.2899933
Thomas Suozzi,Democrat,11/24/2021,MSFT,purchase,Computer Software: Prepackaged Software,Technology,11/24/2022,11/25/2022,337.9100037,247.4900055
Thomas Suozzi,Democrat,11/24/2021,MS,purchase,Investment Bankers/Brokers/Service,Finance,11/24/2022,11/25/2022,101.1200027,90.91000366
Thomas Suozzi,Democrat,11/16/2021,NEE,sale_full,Electric Utilities: Central,Public Utilities,11/16/2022,11/16/2022,86.98000336,84.31999969
Thomas Suozzi,Democrat,11/16/2021,SLVM,sale_full,Paper,Consumer Staples,11/16/2022,11/16/2022,33.09999847,48.56999969
Thomas Suozzi,Democrat,11/18/2021,CG,sale_full,Investment Managers,Finance,11/18/2022,11/18/2022,59.29999924,28.29000092
Virginia Foxx,Republican,10/13/2021,MO,purchase,Farming/Seeds/Milling,Consumer Non-Durables,10/13/2022,10/13/2022,47.91999817,45.88999939
Virginia Foxx,Republican,10/8/2021,GSK,purchase,Major Pharmaceuticals,Health Care,10/8/2022,10/10/2022,38.70999908,30.19000053
Virginia Foxx,Republican,10/7/2021,OLP,purchase,Real Estate Investment Trusts,Real Estate,10/7/2022,10/7/2022,31.56999969,20.86000061
Virginia Foxx,Republican,10/4/2021,PPL,purchase,Electric Utilities: Central,Public Utilities,10/4/2022,10/4/2022,28.29000092,26.65999985
Virginia Foxx,Republican,10/8/2021,VIASP,purchase,Power Generation,Utilities,10/8/2022,10/10/2022,25.45000076,23.55999947
Garret Graves,Republican,9/30/2022,COIN,purchase,EDP Services,Technology,9/30/2023,10/2/2023,64.48999786,75.30999756
Chris Jacobs,Republican,6/16/2022,ACAD,sale_full,Biotechnology: Pharmaceutical Preparations,Health Care,6/16/2023,6/16/2023,19.51000023,24.06999969
Chris Jacobs,Republican,6/21/2022,AGNC,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,10.72000027,10.18000031
Chris Jacobs,Republican,6/16/2022,ALLK,purchase,Biotechnology: Pharmaceutical Preparations,Health Care,6/16/2023,6/16/2023,2.599999905,4.659999847
Chris Jacobs,Republican,6/16/2022,ASB,purchase,Major Banks,Finance,6/16/2023,6/16/2023,18.29000092,17.05999947
Chris Jacobs,Republican,6/16/2022,AXSM,purchase,Biotechnology: Pharmaceutical Preparations,Health Care,6/16/2023,6/16/2023,21.73999977,85
Chris Jacobs,Republican,6/16/2022,SQ,sale_full,Computer Software: Prepackaged Software,Technology,6/16/2023,6/16/2023,57.50999832,66.51000214
Chris Jacobs,Republican,6/21/2022,SAVA,purchase,Biotechnology: Pharmaceutical Preparations,Health Care,6/21/2023,6/21/2023,26.61000061,25.20999908
Chris Jacobs,Republican,6/21/2022,CIVI,purchase,Oil & Gas Production,Energy,6/21/2023,6/21/2023,62.56999969,65.58000183
Chris Jacobs,Republican,6/21/2022,CTRA,purchase,Oil & Gas Production,Energy,6/21/2023,6/21/2023,27.56999969,24.42000008
Chris Jacobs,Republican,6/16/2022,UUUU,sale_full,,,6/16/2023,6/16/2023,5.21999979,6.409999847
Chris Jacobs,Republican,6/16/2022,EXPE,sale_full,Other Consumer Services,Consumer Discretionary,6/16/2023,6/16/2023,96.33000183,105.8700027
Chris Jacobs,Republican,6/21/2022,FNB,purchase,Major Banks,Finance,6/21/2023,6/21/2023,10.90999985,11.5
Chris Jacobs,Republican,6/21/2022,FHN,purchase,Major Banks,Finance,6/21/2023,6/21/2023,21.5,11.60000038
Chris Jacobs,Republican,6/16/2022,GNK,purchase,Marine Transportation,Consumer Discretionary,6/16/2023,6/16/2023,20.32999992,14.35999966
Chris Jacobs,Republican,6/16/2022,GEVO,purchase,Biotechnology: Commercial Physical & Biological Resarch,Health Care,6/16/2023,6/16/2023,2.579999924,1.460000038
Chris Jacobs,Republican,6/16/2022,HD,sale_full,RETAIL: Building Materials,Consumer Services,6/16/2023,6/16/2023,273.4599915,300.3800049
Chris Jacobs,Republican,6/21/2022,IIPR,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,108.5699997,74.05000305
Chris Jacobs,Republican,6/21/2022,KRG,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,17.5,21.01000023
Chris Jacobs,Republican,6/16/2022,KOS,sale_full,Oil & Gas Production,Energy,6/16/2023,6/16/2023,6.989999771,6.210000038
Chris Jacobs,Republican,6/16/2022,MAC,purchase,Real Estate Investment Trusts,Real Estate,6/16/2023,6/16/2023,8.979999542,11.31999969
Chris Jacobs,Republican,6/16/2022,NBR,sale_partial,Oil & Gas Production,Energy,6/16/2023,6/16/2023,140.6799927,101.5500031
Chris Jacobs,Republican,6/16/2022,NAT,purchase,Marine Transportation,Consumer Discretionary,6/16/2023,6/16/2023,1.950000048,3.789999962
Chris Jacobs,Republican,6/21/2022,NWBI,purchase,Major Banks,Finance,6/21/2023,6/21/2023,12.56999969,11
Chris Jacobs,Republican,6/21/2022,OCFC,purchase,Savings Institutions,Finance,6/21/2023,6/21/2023,19.04999924,16.05999947
Chris Jacobs,Republican,6/16/2022,OCGN,purchase,Biotechnology: Pharmaceutical Preparations,Health Care,6/16/2023,6/16/2023,1.950000048,0.5139999986
Chris Jacobs,Republican,6/16/2022,PTEN,sale_full,Oil & Gas Production,Energy,6/16/2023,6/16/2023,15.93999958,11.71000004
Chris Jacobs,Republican,6/21/2022,DOC,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,24.87999916,19.87000084
Chris Jacobs,Republican,6/16/2022,RC,purchase,Real Estate Investment Trusts,Real Estate,6/16/2023,6/16/2023,11.23999977,11.14000034
Chris Jacobs,Republican,6/16/2022,RC,purchase,Real Estate Investment Trusts,Real Estate,6/16/2023,6/16/2023,11.23999977,11.14000034
Chris Jacobs,Republican,6/16/2022,RWT,purchase,Real Estate Investment Trusts,Real Estate,6/16/2023,6/16/2023,6.769999981,6.46999979
Chris Jacobs,Republican,6/21/2022,SBRA,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,13.82999992,11.72999954
Chris Jacobs,Republican,6/21/2022,STNG,purchase,,,6/21/2023,6/21/2023,37.34999847,44.77999878
Chris Jacobs,Republican,6/16/2022,TELL,sale_full,Oil & Gas Production,Energy,6/16/2023,6/16/2023,3.819999933,1.379999995
Chris Jacobs,Republican,6/21/2022,UBSI,purchase,Major Banks,Finance,6/21/2023,6/21/2023,34.95000076,30.52000046
Chris Jacobs,Republican,6/16/2022,UEC,sale_full,Other Metals and Minerals,Basic Materials,6/16/2023,6/16/2023,3.329999924,3.289999962
Alan S. Lowenthal,Democrat,2/4/2021,DD,sale_full,,,2/4/2022,2/4/2022,76.98000336,76.05999756
Alan S. Lowenthal,Democrat,3/15/2021,COLD,sale_full,Real Estate Investment Trusts,Real Estate,3/15/2022,3/15/2022,37.13000107,25.5
Alan S. Lowenthal,Democrat,3/15/2021,COLD,sale_full,Real Estate Investment Trusts,Real Estate,3/15/2022,3/15/2022,37.13000107,25.5
Alan S. Lowenthal,Democrat,3/11/2021,ADBE,purchase,Computer Software: Prepackaged Software,Technology,3/11/2022,3/11/2022,451.0599976,416.3800049
Alan S. Lowenthal,Democrat,3/12/2021,COLD,sale_partial,Real Estate Investment Trusts,Real Estate,3/12/2022,3/14/2022,35.66999817,25.12000084
Alan S. Lowenthal,Democrat,3/15/2021,COLD,sale_full,Real Estate Investment Trusts,Real Estate,3/15/2022,3/15/2022,37.13000107,25.5
Alan S. Lowenthal,Democrat,3/11/2021,NVDA,purchase,Semiconductors,Technology,3/11/2022,3/11/2022,12.99349976,22.10000038
Mo Brooks,Republican,1/22/2021,DUK,purchase,Power Generation,Public Utilities,1/22/2022,1/24/2022,90.29000092,102.5800018
Mo Brooks,Republican,1/22/2021,LEE,sale_full,Newspapers/Magazines,Consumer Discretionary,1/22/2022,1/24/2022,13.69999981,35.25999832
Mo Brooks,Republican,1/22/2021,LEE,sale_full,Newspapers/Magazines,Consumer Discretionary,1/22/2022,1/24/2022,13.69999981,35.25999832
Alan S. Lowenthal,Democrat,1/12/2021,GM,purchase,Auto Manufacturing,Capital Goods,1/12/2022,1/12/2022,47.81999969,61.02999878
Alan S. Lowenthal,Democrat,1/12/2021,GM,purchase,Auto Manufacturing,Capital Goods,1/12/2022,1/12/2022,47.81999969,61.02999878
Alan S. Lowenthal,Democrat,1/11/2021,GIS,sale_full,Packaged Foods,Consumer Non-Durables,1/11/2022,1/11/2022,55.56999969,68.52999878
Alan S. Lowenthal,Democrat,1/12/2021,GM,purchase,Auto Manufacturing,Capital Goods,1/12/2022,1/12/2022,47.81999969,61.02999878
Alan S. Lowenthal,Democrat,1/11/2021,TMUS,purchase,Telecommunications Equipment,Public Utilities,1/11/2022,1/11/2022,132.9299927,110.9700012
Lois Frankel,Democrat,1/21/2021,CI,sale_partial,Medical Specialities,Health Care,1/21/2022,1/21/2022,226.1900024,236.25
Lois Frankel,Democrat,2/10/2021,CL,purchase,Package Goods/Cosmetics,Consumer Non-Durables,2/10/2022,2/10/2022,79.11000061,79.72000122
