State,District,Name,Party,Congress_Number
Alabama,1,Jo Bonner,2014,113
Alabama,2,Martha Roby,(R),113
Alabama,3,Mike Rogers,(R),113
Alabama,4,Robert Aderholt,(R),113
Alabama,5,Mo Brooks,(R),113
Alabama,6,Spencer Bachus,(R),113
Alabama,7,Terri Sewell,(D),113
Alaska,At-large,Don Young,(R),113
Arizona,1,Ann Kirkpatrick,(D),113
Arizona,2,Ron Barber,(D),113
Arizona,3,Raúl Grijalva,(D),113
Arizona,4,Paul Gosar,(R),113
Arizona,5,Matt Salmon,(R),113
Arizona,6,David Schweikert,(R),113
Arizona,7,Ed Pastor,(D),113
Arizona,8,Trent Franks,(R),113
Arizona,9,Kyrsten Sinema,(D),113
Arkansas,1,Rick Crawford,(R),113
Arkansas,2,Tim Griffin,(R),113
Arkansas,3,Steve Womack,(R),113
Arkansas,4,Tom Cotton,(R),113
California,1,Doug LaMalfa,(R),113
California,2,Jared Huffman,(D),113
California,3,John Garamendi,(D),113
California,4,Tom McClintock,(R),113
California,5,Mike Thompson,(D),113
California,6,Doris Matsui,(D),113
California,7,Ami Bera,(D),113
California,8,Paul Cook,(R),113
California,9,Jerry McNerney,(D),113
California,10,Jeff Denham,(R),113
California,11,George Miller,(D),113
California,12,Nancy Pelosi,(D),113
California,13,Barbara Lee,(D),113
California,14,Jackie Speier,(D),113
California,15,Eric Swalwell,(D),113
California,16,Jim Costa,(D),113
California,17,Mike Honda,(D),113
California,18,Anna Eshoo,(D),113
California,19,Zoe Lofgren,(D),113
California,20,Sam Farr,(D),113
California,21,David Valadao,(R),113
California,22,Devin Nunes,(R),113
California,23,Kevin McCarthy,(R),113
California,24,Lois Capps,(D),113
California,25,Buck McKeon,(R),113
California,26,Julia Brownley,(D),113
California,27,Judy Chu,(D),113
California,28,Adam Schiff,(D),113
California,29,Tony Cardenas,(D),113
California,30,Brad Sherman,(D),113
California,31,Gary Miller,(R),113
California,32,Grace Napolitano,(D),113
California,33,Henry Waxman,(D),113
California,34,Xavier Becerra,(D),113
California,35,Gloria Negrete McLeod,(D),113
California,36,Raul Ruiz,(D),113
California,37,Karen Bass,(D),113
California,38,Linda Sanchez,(D),113
California,39,Ed Royce,(R),113
California,40,Lucille Roybal-Allard,(D),113
California,41,Mark Takano,(D),113
California,42,Ken Calvert,(R),113
California,43,Maxine Waters,(D),113
California,44,Janice Hahn,(D),113
California,45,John Campbell,(R),113
California,46,Loretta Sanchez,(D),113
California,47,Alan Lowenthal,(D),113
California,48,Dana Rohrabacher,(R),113
California,49,Darrell Issa,(R),113
California,50,Duncan D. Hunter,(R),113
California,51,Juan Vargas,(D),113
California,52,Scott Peters,(D),113
California,53,Susan Davis,(D),113
Colorado,1,Diana DeGette,(D),113
Colorado,2,Jared Polis,(D),113
Colorado,3,Scott Tipton,(R),113
Colorado,4,Cory Gardner,(R),113
Colorado,5,Doug Lamborn,(R),113
Colorado,6,Mike Coffman,(R),113
Colorado,7,Ed Perlmutter,(D),113
Connecticut,1,John Larson,(D),113
Connecticut,2,Joe Courtney,(D),113
Connecticut,3,Rosa DeLauro,(D),113
Connecticut,4,Jim Himes,(D),113
