State,Name,Party,Congress_Number
Alabama,Jeff Sessions,(R),113
Alabama,Richard Shelby,(R),113
Alaska,Mark Begich,(D),113
Alaska,Lisa Murkowski,(R),113
Arizona,Jeff Flake,(R),113
Arizona,John McCain,(R),113
Arkansas,Mark Pryor,(D),113
Arkansas,John Boozman,(R),113
California,Dianne Feinstein,(D),113
California,Barbara Boxer,(D),113
Colorado,Mark Udall,(D),113
Colorado,Michael Bennet,(D),113
Connecticut,Chris Murphy,(D),113
Connecticut,Richard Blumenthal,(D),113
Delaware,Tom Carper,(D),113
Delaware,Chris Coons,(D),113
Florida,Bill Nelson,(D),113
Florida,Marco Rubio,(R),113
Georgia,Saxby Chambliss,(R),113
Georgia,Johnny Isakson,(R),113
Hawaii,Mazie Hirono,(D),113
Hawaii,Brian Schatz,(D),113
Idaho,Jim Risch,(R),113
Idaho,Mike Crapo,(R),113
Illinois,Dick Durbin,(D),113
Illinois,Mark Kirk,(R),113
Indiana,Joe Donnelly,(D),113
Indiana,Dan Coats,(R),113
Iowa,Tom Harkin,(D),113
Iowa,Chuck Grassley,(R),113
Kansas,Pat Roberts,(R),113
Kansas,Jerry Moran,(R),113
Kentucky,Mitch McConnell,(R),113
Kentucky,Rand Paul,(R),113
Louisiana,Mary Landrieu,(D),113
Louisiana,David Vitter,(R),113
Maine,Angus King,(I),113
Maine,Susan Collins,(R),113
Maryland,Ben Cardin,(D),113
Maryland,Barbara Mikulski,(D),113
Massachusetts,Elizabeth Warren,(D),113
Massachusetts,John Kerry,2013,113
Massachusetts,Mo Cowan,2013,113
Massachusetts,Ed Markey,2013,113
Michigan,Debbie Stabenow,(D),113
Michigan,Carl Levin,(D),113
Minnesota,Amy Klobuchar,(DFL)[n],113
Minnesota,Al Franken,(DFL)[n],113
Mississippi,Roger Wicker,(R),113
Mississippi,Thad Cochran,(R),113
Missouri,Claire McCaskill,(D),113
Missouri,Roy Blunt,(R),113
Montana,Jon Tester,(D),113
Montana,Max Baucus,2014,113
Montana,John Walsh,2014,113
Nebraska,Deb Fischer,(R),113
Nebraska,Mike Johanns,(R),113
Nevada,Dean Heller,(R),113
Nevada,Harry Reid,(D),113
New Hampshire,Jeanne Shaheen,(D),113
New Hampshire,Kelly Ayotte,(R),113
New Jersey,Bob Menendez,(D),113
New Jersey,Frank Lautenberg,2013,113
New Jersey,Jeffrey Chiesa,2013,113
New Jersey,Cory Booker,2013,113
New Mexico,Martin Heinrich,(D),113
New Mexico,Tom Udall,(D),113
New York,Kirsten Gillibrand,(D),113
New York,Chuck Schumer,(D),113
North Carolina,Kay Hagan,(D),113
North Carolina,Richard Burr,(R),113
North Dakota,Heidi Heitkamp,(D-NPL)[n],113
North Dakota,John Hoeven,(R),113
Ohio,Sherrod Brown,(D),113
Ohio,Rob Portman,(R),113
Oklahoma,Jim Inhofe,(R),113
Oklahoma,Tom Coburn,(R),113
Oregon,Jeff Merkley,(D),113
Oregon,Ron Wyden,(D),113
Pennsylvania,Bob Casey Jr.,(D),113
Pennsylvania,Pat Toomey,(R),113
Rhode Island,Sheldon Whitehouse,(D),113
Rhode Island,Jack Reed,(D),113
South Carolina,Lindsey Graham,(R),113
South Carolina,Tim Scott,(R),113
South Dakota,Tim Johnson,(D),113
South Dakota,John Thune,(R),113
Tennessee,Bob Corker,(R),113
Tennessee,Lamar Alexander,(R),113
Texas,Ted Cruz,(R),113
Texas,John Cornyn,(R),113
Utah,Orrin Hatch,(R),113
Utah,Mike Lee,(R),113
Vermont,Bernie Sanders,(I),113
Vermont,Patrick Leahy,(D),113
Virginia,Tim Kaine,(D),113
Virginia,Mark Warner,(D),113
Washington,Maria Cantwell,(D),113
Washington,Patty Murray,(D),113
West Virginia,Joe Manchin,(D),113
West Virginia,Jay Rockefeller,(D),113
Wisconsin,Tammy Baldwin,(D),113
Wisconsin,Ron Johnson,(R),113
Wyoming,John Barrasso,(R),113
Wyoming,Mike Enzi,(R),113
Alabama,Jeff Sessions,(R),114
Alabama,Richard Shelby,(R),114
Alaska,Dan Sullivan,(R),114
Alaska,Lisa Murkowski,(R),114
Arizona,Jeff Flake,(R),114
Arizona,John McCain,(R),114
Arkansas,Tom Cotton,(R),114
Arkansas,John Boozman,(R),114
California,Dianne Feinstein,(D),114
California,Barbara Boxer,(D),114
Colorado,Cory Gardner,(R),114
Colorado,Michael Bennet,(D),114
Connecticut,Chris Murphy,(D),114
Connecticut,Richard Blumenthal,(D),114
Delaware,Tom Carper,(D),114
Delaware,Chris Coons,(D),114
Florida,Bill Nelson,(D),114
Florida,Marco Rubio,(R),114
Georgia,David Perdue,(R),114
Georgia,Johnny Isakson,(R),114
Hawaii,Mazie Hirono,(D),114
Hawaii,Brian Schatz,(D),114
Idaho,Jim Risch,(R),114
Idaho,Mike Crapo,(R),114
Illinois,Dick Durbin,(D),114
Illinois,Mark Kirk,(R),114
Indiana,Joe Donnelly,(D),114
Indiana,Dan Coats,(R),114
Iowa,Joni Ernst,(R),114
Iowa,Chuck Grassley,(R),114
Kansas,Pat Roberts,(R),114
Kansas,Jerry Moran,(R),114
Kentucky,Mitch McConnell,(R),114
Kentucky,Rand Paul,(R),114
Louisiana,Bill Cassidy,(R),114
Louisiana,David Vitter,(R),114
Maine,Angus King,(I)[j],114
Maine,Susan Collins,(R),114
Maryland,Ben Cardin,(D),114
Maryland,Barbara Mikulski,(D),114
Massachusetts,Elizabeth Warren,(D),114
Massachusetts,Ed Markey,(D),114
Michigan,Debbie Stabenow,(D),114
Michigan,Gary Peters,(D),114
Minnesota,Amy Klobuchar,(DFL)[k],114
Minnesota,Al Franken,(DFL)[k],114
Mississippi,Roger Wicker,(R),114
Mississippi,Thad Cochran,(R),114
Missouri,Claire McCaskill,(D),114
Missouri,Roy Blunt,(R),114
Montana,Jon Tester,(D),114
Montana,Steve Daines,(R),114
Nebraska,Deb Fischer,(R),114
Nebraska,Ben Sasse,(R),114
Nevada,Dean Heller,(R),114
Nevada,Harry Reid,(D),114
New Hampshire,Jeanne Shaheen,(D),114
New Hampshire,Kelly Ayotte,(R),114
New Jersey,Bob Menendez,(D),114
New Jersey,Cory Booker,(D),114
New Mexico,Martin Heinrich,(D),114
New Mexico,Tom Udall,(D),114
New York,Kirsten Gillibrand,(D),114
New York,Chuck Schumer,(D),114
North Carolina,Thom Tillis,(R),114
North Carolina,Richard Burr,(R),114
North Dakota,Heidi Heitkamp,(D-NPL)[k],114
North Dakota,John Hoeven,(R),114
Ohio,Sherrod Brown,(D),114
Ohio,Rob Portman,(R),114
Oklahoma,Jim Inhofe,(R),114
Oklahoma,James Lankford,(R),114
Oregon,Jeff Merkley,(D),114
Oregon,Ron Wyden,(D),114
Pennsylvania,Bob Casey Jr.,(D),114
Pennsylvania,Pat Toomey,(R),114
Rhode Island,Sheldon Whitehouse,(D),114
Rhode Island,Jack Reed,(D),114
South Carolina,Lindsey Graham,(R),114
South Carolina,Tim Scott,(R),114
South Dakota,Mike Rounds,(R),114
South Dakota,John Thune,(R),114
Tennessee,Bob Corker,(R),114
Tennessee,Lamar Alexander,(R),114
Texas,Ted Cruz,(R),114
Texas,John Cornyn,(R),114
Utah,Orrin Hatch,(R),114
Utah,Mike Lee,(R),114
