Symbol,Name,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,950947,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,1785157,Industrials,Aluminum
AACG,ATA Creativity Global American Depositary Shares,China,2008,24438,Real Estate,Other Consumer Services
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,2023,95056,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,United States,,44392,Health Care,Biotechnology: Pharmaceutical Preparations
AAL,American Airlines Group Inc. Common Stock,United States,,9494964,Consumer Discretionary,Air Freight/Delivery Services
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,,2024,28656,,
AAME,Atlantic American Corporation Common Stock,United States,,1896,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,3852000,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,169696,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,2812631,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,United States,1980,28388267,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,183949,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,134112,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,,337779,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,2012,2710588,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,269581,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,2439697,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,165061,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,29055618,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,66042,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,224002,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,609,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,2020,135459,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,,20244,Consumer Discretionary,Other Consumer Services
ABLVW,Able View Global Inc. Warrant,China,,7,Consumer Discretionary,Other Consumer Services
ABM,ABM Industries Incorporated Common Stock,United States,,169864,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,2662215,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,99003,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABP,Abpro Holdings Inc Common Stock,United States,2022,9625,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,United States,2004,1099463,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,14435,,
